dataset,model,0.5,0.6,0.7,0.8,0.9
CommonsenseQA,openai/gpt-3.5-turbo,71.01,70.76,57.33,56.76,56.18
CommonsenseQA,openai/gpt-4,68.3,68.3,54.79,54.79,54.79
CommonsenseQA,openai/gpt-4o-mini,42.51,42.26,23.26,22.28,21.95
CommonsenseQA,openai/gpt-4o,77.07,77.07,67.32,67.32,67.32
GSM8K,openai/gpt-3.5-turbo,79.53,77.48,73.39,68.76,63.91
GSM8K,openai/gpt-4,66.79,66.03,60.12,53.07,39.65
GSM8K,openai/gpt-4o-mini,93.86,93.33,92.34,90.83,89.16
GSM8K,openai/gpt-4o,84.99,84.61,83.47,81.12,78.62
MultiArith,openai/gpt-3.5-turbo,89.67,88.5,86.33,84.67,80.83
MultiArith,openai/gpt-4,29.67,29.5,26.83,25.5,23.5
MultiArith,openai/gpt-4o-mini,98.33,98.17,98.0,96.83,95.5
MultiArith,openai/gpt-4o,96.0,95.83,95.17,94.83,91.5
ObjectTracking,openai/gpt-3.5-turbo,39.6,37.6,36.4,34.0,25.07
ObjectTracking,openai/gpt-4,72.67,72.13,64.53,54.53,38.4
ObjectTracking,openai/gpt-4o-mini,24.53,24.4,23.6,23.47,22.67
ObjectTracking,openai/gpt-4o,52.27,52.27,23.6,23.2,20.67
StrategyQA,openai/gpt-3.5-turbo,91.7,89.74,81.83,77.16,63.71
StrategyQA,openai/gpt-4,23.01,22.97,7.99,7.99,7.64
StrategyQA,openai/gpt-4o-mini,33.28,30.17,22.31,18.03,5.9
StrategyQA,openai/gpt-4o,3.36,3.28,0.35,0.26,0.22
