dataset,model,0.7
CommonsenseQA,openai/gpt-3.5-turbo,57.33
CommonsenseQA,openai/gpt-4,54.79
CommonsenseQA,openai/gpt-4o-mini,23.26
CommonsenseQA,openai/gpt-4o,67.32
GSM8K,openai/gpt-3.5-turbo,73.39
GSM8K,openai/gpt-4,60.12
GSM8K,openai/gpt-4o-mini,92.34
GSM8K,openai/gpt-4o,83.47
MultiArith,openai/gpt-3.5-turbo,86.33
MultiArith,openai/gpt-4,26.83
MultiArith,openai/gpt-4o-mini,98.0
MultiArith,openai/gpt-4o,95.17
ObjectTracking,openai/gpt-3.5-turbo,36.4
ObjectTracking,openai/gpt-4,64.53
ObjectTracking,openai/gpt-4o-mini,23.6
ObjectTracking,openai/gpt-4o,23.6
StrategyQA,openai/gpt-3.5-turbo,81.83
StrategyQA,openai/gpt-4,7.99
StrategyQA,openai/gpt-4o-mini,22.31
StrategyQA,openai/gpt-4o,0.35
