prompt_method,,control,control,control,basic,basic,basic,constraint,constraint,constraint,cot,cot,cot,multihop,multihop,multihop
metric,,exact_match,semanticF1,semanticF1-decoded,exact_match,semanticF1,semanticF1-decoded,exact_match,semanticF1,semanticF1-decoded,exact_match,semanticF1,semanticF1-decoded,exact_match,semanticF1,semanticF1-decoded
dataset,model,,,,,,,,,,,,,,,
CommonsenseQA,llama3.2:1b,28.26,,,26.95,,,,,,,,,,,
CommonsenseQA,deepseek-r1:1.5b,41.85,,,34.81,,,,,,,,,,,
CommonsenseQA,phi3.5,34.81,,,,,,,,,,,,,,
CommonsenseQA,gemma:2b,47.99,,,,,,,,,,,,,,
CommonsenseQA,qwen2.5:3b,55.94,,,64.62,,,,,,,,,,,
GSM8K,llama3.2:1b,42.38,,,15.77,,,,,,,,,,,
GSM8K,deepseek-r1:1.5b,64.67,,,75.36,,,,,,,,,,,
GSM8K,phi3.5,,,,,,,,,,,,,,,
GSM8K,gemma:2b,,,,,,,,,,,,,,,
GSM8K,qwen2.5:3b,,,,64.75,,,,,,,,,,,
MultiArith,llama3.2:1b,75.0,,,19.33,,,,,,,,,,,
MultiArith,deepseek-r1:1.5b,96.17,,,89.67,,,,,,,,,,,
MultiArith,phi3.5,81.83,,,,,,,,,,,,,,
MultiArith,gemma:2b,20.5,,,,,,,,,,,,,,
MultiArith,qwen2.5:3b,92.17,,,85.67,,,,,,,,,,,
ObjectTracking,llama3.2:1b,,,,,,,,,,,,,,,
ObjectTracking,deepseek-r1:1.5b,,,,,,,,,,,,,,,
ObjectTracking,phi3.5,,,,,,,,,,,,,,,
ObjectTracking,gemma:2b,,,,,,,,,,,,,,,
ObjectTracking,qwen2.5:3b,,,,,,,,,,,,,,,
StrategyQA,llama3.2:1b,,,,,,,,,,,,,,,
StrategyQA,deepseek-r1:1.5b,,,,,,,,,,,,,,,
StrategyQA,phi3.5,,,,,,,,,,,,,,,
StrategyQA,gemma:2b,,,,,,,,,,,,,,,
StrategyQA,qwen2.5:3b,,,,,,,,,,,,,,,
